References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell	LCSC
C1, C2, C3, C4, C5, C6, C7, C11, C13, C14,	20	0.1uF Capacitors_SMD:C_0805_HandSoldering								
C8, C9, C10,	6	22uF Capacitors_SMD:C_1210_HandSoldering								
C12,	2	82pF Capacitors_SMD:C_0805_HandSoldering								
D1, D2,	4	LED LEDs:LED_0805								
JP1, JP2, JP3, JP4,	8	Jumper_NC_Dual freetronics_footprints:1X03								
LD1,	2	Laserdiode_N_TYPE ADN8810ACPZ:ADL-65055TL	LASER COMPONENTS	ADL-65055TL					SC12525	
Q1,	2	50V Vds, 0.22 A Id, N-channel MOSFET, SOT-23	ON Semiconductor	FDC637BNZ	FDC637BNZCT-ND	512FDC637BNZ			2322581	
R1,	2	680k Resistors_SMD:R_0805	Vicor	VA-C1779787	1102-VA-C1779787-ND	492VAC1779787				
R2,	2	21k Resistors_SMD:R_0805			MPC17550EVELTR-ND	841MPC17550EVEL				
R3,	2	66.5R Resistors_SMD:R_0805								
R4,	2	7.87k Resistors_SMD:R_0805								
R5, R6, R7, R8,	8	100k Resistors_SMD:R_0805_HandSoldering			P100KDACT-ND	667ERA6AEB104V		01X1346		
R9,	2	220R Resistors_SMD:R_0805_HandSoldering								
R10,	2	100R Resistors_SMD:R_0805_HandSoldering								
R11,	2	5.1k Resistors_SMD:R_0805_HandSoldering								
U1,	2	ADN8810ACPZ ADN8810ACPZ:ADN8810ACPZ	Analog Devices	ADN8810ACPZ	ADN8810ACPZ-ND	584ADN8810ACPZ				
U2,	2	Dual CMOS Operational Amplifiers, Zero-Drift Series, 1.8-V, microPower	Texas Instruments	OPA320SAIDBVT	296-36434-1-ND	595OPA320SAIDBVT				
U3,	2	ADR292GRUZ ADN8810ACPZ:ADR292GRUZ	Analog Devices	ADR292GRUZ	ADR292GRUZ-ND	584ADR292GRUZ				
